strat,exit_variant,bps,N,start,end,net_profit,sharpe,sortino,psr,drawdown,recovery_days,orders,win_rate,avg_win,avg_loss,profit_loss_ratio,expectancy,fees,turnover,capacity,alpha,beta,ann_std,w_sum
0,tight,0.0,0,2017-05-10,2025-05-10,196.125,0.835,1.075,21.51,11.2,301,3594,40,0.68,-0.35,1.94,0.18,15460.41,222.36,34000000,0.079,-0.048,0.09,6500.8574
0,vwap,0.0,0,2017-05-10,2025-05-10,229.192,0.902,1.16,28.276,9.8,431,3116,44,0.77,-0.46,1.66,0.173,14006.21,193.42,75000000,0.09,-0.054,0.096,5654.9449
0,tight,1.0,0,2017-05-10,2025-05-10,54.578,0.17,0.215,0.193,14.2,703,3594,38,0.69,-0.37,1.85,0.073,11229.97,222.43,34000000,0.019,-0.047,0.091,
0,tight,0.25,0,2017-05-10,2025-05-10,151.688,0.665,0.852,9.139,11.5,528,3594,40,0.68,-0.36,1.9,0.151,14222.7,222.38,34000000,0.064,-0.048,0.091,
0,tight,0.5,0,2017-05-10,2025-05-10,113.854,0.497,0.634,3.116,11.9,550,3594,39,0.69,-0.36,1.91,0.125,13111.48,222.39,34000000,0.049,-0.047,0.091,
0,tight,2.0,0,2017-05-10,2025-05-10,-19.349,-0.452,-0.56,0.0,28.8,0,3594,34,0.72,-0.39,1.86,-0.024,8464.11,222.45,34000000,-0.038,-0.046,0.092,
0,vwap,0.25,0,2017-05-10,2025-05-10,185.827,0.76,0.974,15.313,10.6,532,3116,44,0.77,-0.47,1.63,0.151,13002.9,193.43,75000000,0.077,-0.054,0.096,
0,vwap,0.5,0,2017-05-10,2025-05-10,148.064,0.62,0.792,7.132,11.4,532,3116,43,0.77,-0.47,1.63,0.131,12090.28,193.45,75000000,0.063,-0.053,0.096,
0,vwap,1.0,0,2017-05-10,2025-05-10,87.004,0.346,0.439,0.994,13.3,672,3116,42,0.76,-0.49,1.57,0.09,10512.36,193.48,75000000,0.037,-0.053,0.096,
0,vwap,2.0,0,2017-05-10,2025-05-10,6.195,-0.18,-0.223,0.003,19.7,1932,3116,40,0.77,-0.5,1.54,0.015,8118.18,193.52,75000000,-0.013,-0.052,0.096,
1,tight,0.0,0,2017-05-10,2025-05-10,177.468,0.841,1.259,21.982,10.1,617,4900,32,0.59,-0.21,2.8,0.206,19505.35,303.52,30000000,0.071,-0.035,0.081,8873.8389
1,tight,0.25,0,2017-05-10,2025-05-10,122.325,0.585,0.866,5.509,13.5,678,4900,31,0.6,-0.22,2.77,0.159,17446.63,303.55,30000000,0.05,-0.035,0.082,
1,tight,0.5,0,2017-05-10,2025-05-10,78.042,0.335,0.489,0.85,16.8,791,4900,30,0.61,-0.22,2.76,0.114,15673.45,303.58,30000000,0.03,-0.034,0.082,
1,tight,1.0,0,2017-05-10,2025-05-10,14.231,-0.148,-0.21,0.006,24.5,1932,4900,28,0.63,-0.23,2.69,0.03,12819.79,303.63,30000000,-0.01,-0.033,0.082,
1,tight,2.0,0,2017-05-10,2025-05-10,-53.148,-1.039,-1.399,0.0,54.8,0,4900,25,0.67,-0.26,2.57,-0.112,9160.66,303.63,30000000,-0.085,-0.031,0.084,
1,vwap,0.0,0,2017-05-10,2025-05-10,213.599,0.9,1.26,28.09,9.6,532,3864,39,0.68,-0.33,2.06,0.187,16663.87,241.61,60000000,0.084,-0.042,0.09,7064.0801
1,vwap,0.25,0,2017-05-10,2025-05-10,162.825,0.714,0.99,11.902,10.7,617,3864,38,0.68,-0.34,2.03,0.156,15207.53,241.64,60000000,0.067,-0.042,0.09,
1,vwap,0.5,0,2017-05-10,2025-05-10,120.309,0.53,0.73,3.893,12.6,655,3864,37,0.69,-0.34,2.02,0.127,13916.41,241.66,60000000,0.051,-0.041,0.09,
1,vwap,1.0,0,2017-05-10,2025-05-10,54.707,0.171,0.232,0.195,17.2,848,3864,36,0.7,-0.35,1.97,0.071,11751.25,241.7,60000000,0.018,-0.04,0.09,
1,vwap,2.0,0,2017-05-10,2025-05-10,-23.66,-0.506,-0.663,0.0,33.4,0,3864,34,0.71,-0.38,1.87,-0.03,8668.13,241.76,60000000,-0.043,-0.038,0.091,
2,tight,0.0,0,2017-05-10,2025-05-10,227.196,0.947,1.245,33.461,8.7,300,3450,40,0.7,-0.35,1.99,0.205,15818.39,213.01,35000000,0.089,-0.049,0.09,6228.1092
2,tight,0.25,0,2017-05-10,2025-05-10,180.068,0.782,1.024,16.846,8.9,301,3450,40,0.69,-0.36,1.94,0.175,14581.99,213.03,35000000,0.074,-0.048,0.09,
2,tight,0.5,0,2017-05-10,2025-05-10,139.657,0.618,0.806,6.919,9.2,528,3450,39,0.7,-0.36,1.95,0.149,13469.69,213.05,35000000,0.059,-0.048,0.09,
2,tight,1.0,0,2017-05-10,2025-05-10,75.472,0.298,0.385,0.638,11.7,561,3450,38,0.7,-0.37,1.88,0.095,11566.24,213.08,35000000,0.03,-0.048,0.09,
2,tight,2.0,0,2017-05-10,2025-05-10,-5.885,-0.312,-0.396,0.001,19.0,1483,3450,35,0.73,-0.39,1.89,-0.002,8751.58,213.12,35000000,-0.025,-0.047,0.091,
2,vwap,0.0,0,2017-05-10,2025-05-10,259.71,0.999,1.306,39.584,9.6,425,2982,45,0.79,-0.47,1.67,0.191,14221.15,184.6,75000000,0.099,-0.055,0.095,5397.5556
2,vwap,0.25,0,2017-05-10,2025-05-10,214.209,0.861,1.122,24.115,10.4,433,2982,44,0.78,-0.48,1.65,0.169,13229.85,184.61,75000000,0.086,-0.054,0.095,
2,vwap,0.5,0,2017-05-10,2025-05-10,174.561,0.726,0.942,12.859,11.1,503,2982,44,0.78,-0.48,1.63,0.149,12330.67,184.63,75000000,0.073,-0.054,0.095,
